Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Adobe Inc.,ADBE,361.03,446.3958922861056,0.2364509660862133,0.0068797043544926,0.3594186356591746,1.7432541577612324e-18
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458,0.2639877129088913,0.5067387985373684,0.0
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213065,0.0849108443118185,0.4832515432320766,0.0
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.3286886400701476,0.234660783585322,0.3101205324229742,2.5675854042006903e-17
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.3226584877705005,0.234569450018245,0.3089351322108425,1.9710428878399248e-17
Amazon,AMZN,228.01,31.12918592617877,-0.8634744707417272,0.1249138648882221,0.3543299637120808,0.0
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.0719930755024256,0.234961950488581,0.03041792094327357
Analog Devices,ADI,230.44,243.91365133245253,0.0584692385542984,0.202946265797268,0.3260874682458943,0.0
Apple Inc.,AAPL,230.56,173.77669714118954,-0.2462842767991432,0.1628710868844859,0.2931924154898909,2.5520359698468815e-17
Applied Materials,AMAT,162.215,144.156286775192,-0.1113257912326727,0.2852202027206763,0.4339839376548318,0.0
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241,0.7190559066600252,0.7818932262816339,0.0
Arm Holdings,ARM,134.01,10.0709254342952,-0.9248494482927004,0.6863711419201286,0.7762236506352849,0.0
ASML Holding,ASML,743.61,750.7543171041926,0.0096076130016979,0.2265800809206148,0.4141629604700967,0.0
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.1030612978041374,0.2404703154289999,0.08645426749690656
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424,0.162338590194838,0.5681710628750262,3.1026820676226228e-18
Autodesk,ADSK,289.24,201.18214803768092,-0.3044456228817557,0.0918513204972097,0.3501100990096445,4.980406928743043e-17
Automatic Data Processing,ADP,305.72,334.0319225471775,0.0926073614653193,0.1855159986031753,0.2168144717332025,1.188954487679571e-16
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255,0.5531568009010959,0.4662043551384492,0.011753289194605868
Baker Hughes,BKR,42.95,53.80246904372341,0.2526768112624775,0.2726916611310475,0.3683112826733572,0.04160068901936286
Biogen,BIIB,138.86,354.6175476323975,1.5537775286792268,-0.048943067967509,0.443158457568178,0.0
Booking Holdings,BKNG,5584.08,10970.897631554026,0.9646741507202664,0.2871305937386003,0.3331393355242518,1.039867264062686e-17
Broadcom,AVGO,294.91,200.74116630105115,-0.3193138031906306,0.5201419717569564,0.4082991664594013,4.7601257304125777e-17
Cadence Design Systems,CDNS,346.88,196.3123546569245,-0.434062630716892,0.2922804903183512,0.3562505931295399,2.902796136688703e-17
CDW Corporation,CDW,167.58,139.00403361189353,-0.170521341377888,0.1215623812735701,0.2811521649900393,2.4960115098069943e-17
Charter Communications,CHTR,267.01,441.9743979244552,0.6552728284500777,-0.1028392134735251,0.3573682406417228,4.7629645246123153e-17
Cintas,CTAS,216.43,118.67502017012286,-0.4516701928100408,0.2281769455816062,0.2369444222813152,0.0
Cisco,CSCO,66.76,64.25900505508812,-0.0374624767062894,0.119039628916908,0.2274015444930545,0.025584464275295076
