Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.014367205822164685,0.0016692903478919784
Cognizant,CTSH,71.08,79.0,0.1114237478897017,37,0.0470525950156687,0.2573880008702495,0.010637175480228406,0.001812409467635828
Comcast,CMCSA,33.6,43.0,0.2797619047619046,48,-0.0155406054158864,0.261556242317171,0.012475915741692916,0.0017465147901175807
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,0.6803966659715761,0.4949951103942768,0.008959728459871466,0.0018446709853269581
Copart,CPRT,47.68,35.5,-0.2554530201342282,4,0.1672777382764555,0.2606291658445022,0.009849433172465422,0.001833203982445432
CoStar Group,CSGP,88.36,97.0,0.0977818017202354,19,0.0669914135440245,0.3273968819307495,0.009252657657127837,0.001866986842098927
Costco,COST,969.68,1062.5,0.0957223001402525,101,0.2315307982922127,0.226302549799403,0.012601881309705602,0.0017205985365002755
CrowdStrike,CRWD,414.06,433.94,0.0480123653576776,203,0.4035253186743454,0.5224204215169974,0.006507889244383484,0.0019163660567606071
CSX Corporation,CSX,35.87,36.75,0.0245330359632005,65,0.0925522262301891,0.235658260882449,0.012576453962727878,0.0017376303518115933
Datadog,DDOG,129.15,149.0,0.1536972512582268,84,0.2427057632201638,0.5583887339240536,0.0059423993802355645,0.0019475238320315576
DexCom,DXCM,80.62,81.36,0.0091788638055072,41,0.0662604889578585,0.4706133626186048,0.008169185531087864,0.0018964795936520747
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,0.3600116018102547,0.4598890754917062,0.01136564195389556,0.0017684045210040991
DoorDash,DASH,245.18,257.55,0.0504527286075535,83,0.2278971875640098,0.5861314529071546,0.005819854446007034,0.001956457077591603
Electronic Arts,EA,171.55,177.14,0.0325852521130864,55,0.06893234932669,0.2497263487070728,0.014842737833268792,0.0015947159762326798
Exelon,EXC,44.64,47.0,0.0528673835125448,15,0.1260891629105199,0.213199216928025,0.018917203859506314,0.0014631329141282902
Fastenal,FAST,49.14,69.33,0.4108669108669107,23,0.1786808111236893,0.2420361698851967,0.01178422125320747,0.0017749057756374996
Fortinet,FTNT,77.75,103.5,0.3311897106109325,69,0.3166189918850979,0.4324327440094794,0.007611903905220026,0.0019082570668258435
GE HealthCare,GEHC,73.15,84.0,0.1483253588516746,15,0.1381478653412923,0.3250212123436827,0.011274265192249175,0.0017774634180928535
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,0.138171416598632,0.234586753540917,0.01795356311631122,0.0014870366245709086
GlobalFoundries,GFS,32.6,67.38,1.0668711656441716,12,0.04504166407721,0.4991858107821562,0.005906152144066855,0.001969113933224507
Honeywell,HON,217.42,247.0,0.136050041394536,37,0.0913265764216247,0.2190868984926939,0.012569268763183665,0.001743729155868679
Idexx Laboratories,IDXX,633.05,715.67,0.130511018087039,14,0.1674491281846015,0.3538844889660564,0.008400751344798282,0.00189876936014733
Intel,INTC,23.5,21.0,-0.1063829787234043,103,-0.0396432948968116,0.4396042232904947,0.007655916662557238,0.0019170330633130625
Intuit,INTU,697.76,820.0,0.1751891767943132,82,0.197570032723153,0.3450308537168295,0.007472697432448492,0.0019204356080248178
Intuitive Surgical,ISRG,469.88,590.33,0.2563420447773901,68,0.1987303931234689,0.3297933866324,0.008205207300372958,0.0019009615295376189
Keurig Dr Pepper,KDP,35.2,38.67,0.0985795454545455,23,0.0558483115639386,0.1915602307511777,0.01888045045293807,0.0013971935596219288
KLA Corporation,KLAC,872.39,823.33,-0.0562363163264135,51,0.3765866752219468,0.4226522714457393,0.006206194950459934,0.001949131930943079
Kraft Heinz,KHC,27.5,29.0,0.0545454545454544,32,-0.0197563272640714,0.2236230737148316,0.02087140306620425,0.0012945076371547455
Lam Research,LRCX,98.41,83.67,-0.1497815262676557,54,0.3101157767492344,0.4466628102544042,0.0059735372558099445,0.001957879190476027
Linde plc,LIN,480.71,576.0,0.1982276216429865,33,0.1561185773285191,0.2171356930023678,0.012425304382162727,0.001746191420677232
Lululemon,LULU,198.18,430.0,1.1697446765566657,122,-0.0372325455122172,0.4036520115788591,0.008115673584137261,0.0018907050108335234
Marriott International,MAR,262.27,289.0,0.1019178708964045,32,0.2540533531745665,0.3086621243493818,0.009533953506470004,0.0018430733306982843
Marvell Technology,MRVL,71.21,99.29,0.394326639516922,88,0.3094984947520245,0.5695586475852089,0.005115781106035803,0.001982874146344779
Mercado Libre,MELI,2337.44,2700.0,0.1551098637825998,29,0.2689666701140987,0.5080120080321028,0.006183717874832599,0.0019595919421929947
Meta Platforms,META,739.1,850.0,0.1500473548910836,235,0.3030337900801417,0.4396817373491122,0.007142722968290056,0.0019168787602538984
Microchip Technology,MCHP,66.1,69.33,0.0488653555219364,39,0.1439560788809732,0.4334058560248996,0.006056688263296767,0.0019657547592522666
Micron Technology,MU,115.79,146.43,0.2646169790137318,153,0.3071137193731391,0.4657384222052724,0.0065867741282975975,0.0019293568247276535
Microsoft,MSFT,504.24,601.38,0.1926463588767253,190,0.2088202237573098,0.2655689551130605,0.009396806605189495,0.001838360760347648
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9,1.0919883968413335,0.9554061623529176,0.004321772135820939,0.002011832762094428
Mondelez International,MDLZ,62.94,73.25,0.1638068001271051,38,0.0355556336411832,0.1872720647984994,0.01853164348335307,0.0014566294517934166
Monster Beverage,MNST,64.36,68.17,0.0591982597886886,38,0.1105002407912271,0.2401091394144359,0.013272470890436155,0.001718567570393279
"Netflix, Inc.",NFLX,1206.21,1250.45,0.0366768638960048,236,0.2821412012087361,0.4411003362960872,0.007962277864140931,0.0018819738293896166
Nvidia,NVDA,174.98,190.78,0.0902960338324381,235,0.667832044879233,0.5270666584623265,0.005472477007449364,0.0019641323242244866
NXP Semiconductors,NXPI,223.93,252.5,0.1275845130174608,76,0.207691740068252,0.3987380453969205,0.006497530860042589,0.0019477880498213048
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.2231687017565038,0.01719118229936913,0.0014979785326809552
Old Dominion Freight Line,ODFL,149.75,178.0,0.1886477462437394,47,0.154865972234185,0.3472190718138788,0.008899676539436041,0.0018786312276217524
Onsemi,ON,48.81,60.0,0.229256299938537,87,0.3126944431480066,0.5193852440629801,0.005569602021288438,0.0019763963629634805
Paccar,PCAR,97.54,111.33,0.1413778962476932,34,0.1460837422867097,0.2589647709598887,0.01236590548958628,0.0017392668273875352
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426,0.005423363154384755,0.001956558134796709
Palo Alto Networks,PANW,183.32,254.0,0.3855553131136811,146,0.3717546922110432,0.4089659079408316,0.00839478343734358,0.0018623623860716083
Paychex,PAYX,138.41,154.8,0.1184162994003323,31,0.1515993978808165,0.2297784590091215,0.011750371435376218,0.0017878696177123434
PayPal,PYPL,67.55,76.67,0.1350111028867506,161,-0.1184378416322965,0.4240892005565455,0.007168044219256903,0.0019281501052421251
PDD Holdings,PDD,122.96,121.0,-0.0159401431359791,38,0.3421450722730907,0.7277773123108358,0.007210092578268664,0.001895149858597677
PepsiCo,PEP,148.98,153.67,0.0314807356692172,51,0.032674929288442,0.178244542899649,0.01878933951284836,0.0014450874469760136
Qualcomm,QCOM,154.13,185.0,0.2002854733017582,70,0.1364879211486289,0.3856986773387702,0.006968500793146656,0.001927834838400867
Regeneron Pharmaceuticals,REGN,598.16,679.0,0.135147786545406,79,0.0435006149811813,0.3001919098715653,0.014082723223258289,0.0016753189811216668
Roper Technologies,ROP,526.94,645.0,0.2240482787414126,17,0.0656518382790018,0.209797340995526,0.012725171178380314,0.0017332792943325244
Ross Stores,ROST,145.62,146.67,0.0072105480016479,62,0.1506741054760548,0.3155556456628965,0.010581441216666826,0.0018193621747932805
Shopify,SHOP,136.68,130.0,-0.0488732806555458,104,0.2830514012394698,0.6552531195666813,0.004842558481879183,0.001990271262599181
Starbucks,SBUX,88.56,107.5,0.2138663053297198,99,0.0708804920445839,0.3104626200633951,0.010035646759478852,0.0018381504815385146
Synopsys,SNPS,598.17,545.0,-0.0888877743785211,34,0.2721006032838621,0.3541733469301744,0.007293547873030634,0.0019119549333477856
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.2403741023030101,0.015049710898290266,0.0016357850229166092
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,55,0.1096824937331541,0.324855915450949,0.01111016024985785,0.0017538918463662425
"Tesla, Inc.",TSLA,320.11,363.08,0.1342351066820779,214,0.3848299170934255,0.631008985371396,0.005619045196767461,0.001968960268966228
Texas Instruments,TXN,200.71,194.0,-0.0334313188181955,78,0.1222295373238405,0.3035760394311952,0.008377808283407364,0.0018847628673462492
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.1815482150904319,0.2048261163716895,0.014555047419883763,0.001615861077879405
Trade Desk (The),TTD,52.3,98.33,0.8801147227533461,59,0.2723814227584838,0.6974145363208422,0.005048643072803369,0.0019814775606191376
Verisk Analytics,VRSK,271.91,315.0,0.1584715530874185,20,0.1026217952714813,0.227562677878396,0.01370448556813954,0.0016978840737846925
Vertex Pharmaceuticals,VRTX,397.46,482.44,0.2138076787601268,58,0.1252111655762944,0.3011106590813174,0.0144820712151459,0.0016605669964274664
Warner Bros. Discovery,WBD,11.585,12.5,0.0789814415192058,34,0.022189169458421,0.5445557229565612,0.008082416337775272,0.001910899066811898
"Workday, Inc.",WDAY,227.58,267.0,0.1732138149222251,97,0.1012486957221323,0.3816503091728371,0.007807837559647321,0.0019001283541539558
Xcel Energy,XEL,73.16,76.33,0.0433296883542919,21,0.032879760122477,0.2103782132696467,0.01986075064503842,0.001406476216507614
