Model,Return,Volatility,Sharpe_Ratio,Stocks_Selected
mv_historical_max_sharpe,0.4803170889225331,0.22274397885494854,2.066574779210049,12
mv_historical_min_vol,0.12124350869102803,0.1138472729126961,0.889292348431277,24
mv_undervalue_max_sharpe,0.537378674415371,0.28581853581793365,1.8101648758880393,11
mv_undervalue_min_vol,0.08139956454816749,0.11384724929181732,0.5393153100325326,24
rp_historical,0.20596788137840244,0.17254003889974404,1.0778245012826315,101
rp_undervalue,0.14563489949301656,0.17302170079835072,0.7261222084473588,100
