Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.2231687017565038,0.3997080422114127
Constellation Energy,CEG,312.52,356.67,0.141270958658646,32,0.6803966659715761,0.4949951103942768,0.18061002600779613
Gilead Sciences,GILD,116.14,126.14,0.0861029791630789,58,0.138171416598632,0.234586753540917,0.07370499080648646
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426,0.06937678142572688
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,0.51926169129774,0.4081675533803968,0.06565217063881489
MicroStrategy,MSTR,337.58,220.0,-0.3483026245630665,9,1.0919883968413335,0.9554061623529176,0.05739150338759413
Diamondback Energy,FANG,138.0,208.25,0.5090579710144927,61,0.3600116018102547,0.4598890754917062,0.04715824428167945
Nvidia,NVDA,174.98,190.78,0.0902960338324381,235,0.667832044879233,0.5270666584623265,0.04494719940562759
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.039743827392539635
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.2403741023030101,0.011341830128345987
