Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Adobe Inc.,ADBE,361.03,446.3958922861056,0.2364509660862133,0.0055762026308994,0.359550377684783,1.5727636860967498e-13
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458,0.2659501650351844,0.5069222124243764,5.992902933408514e-13
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213065,0.0849108443118185,0.4832515432320766,0.08552403292351432
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.3286886400701476,0.2336226716169388,0.3102357079904485,8.325472132720156e-13
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.3226584877705005,0.2337640499279979,0.3090532578657348,8.153297356920254e-13
Amazon,AMZN,228.01,31.12918592617877,-0.8634744707417272,0.1236298343023454,0.3544598588636372,3.461420794362639e-13
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.0738023955966213,0.2350210842799073,0.41531115314922096
Analog Devices,ADI,230.44,243.91365133245253,0.0584692385542984,0.2010107340402685,0.3261890715199783,4.587294745599691e-14
Apple Inc.,AAPL,230.56,173.77669714118954,-0.2462842767991432,0.1605916096653562,0.29326536628135,6.536394811397237e-14
Applied Materials,AMAT,162.215,144.156286775192,-0.1113257912326727,0.2807000815177258,0.4340400199002813,2.7368983864752607e-13
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241,0.7190559066600252,0.7818932262816339,7.659096837381017e-13
Arm Holdings,ARM,134.01,10.0709254342952,-0.9248494482927004,0.6863711419201286,0.7762236506352849,6.876134036438288e-13
ASML Holding,ASML,743.61,750.7543171041926,0.0096076130016979,0.2235883896043297,0.4142745343670028,1.8784140875858617e-13
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.0993529699310532,0.2404239459110871,1.467297189102854e-12
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424,0.1597043559607926,0.5683675223962232,1.1818786076686813e-13
Autodesk,ADSK,289.24,201.18214803768092,-0.3044456228817557,0.0890650608971053,0.3501946947288629,2.3295407293975175e-13
Automatic Data Processing,ADP,305.72,334.0319225471775,0.0926073614653193,0.1819062150910617,0.2167513959933548,1.0124860616600769e-12
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255,0.5520401614634903,0.4663838446014542,1.1092939253565866e-13
Baker Hughes,BKR,42.95,53.80246904372341,0.2526768112624775,0.2669213331500193,0.3682332510229421,1.400594154876349e-12
Biogen,BIIB,138.86,354.6175476323975,1.5537775286792268,-0.0486119340235592,0.4433347865874898,0.0017523580679770492
Booking Holdings,BKNG,5584.08,10970.897631554026,0.9646741507202664,0.2811353369476277,0.3330036905295074,1.0106735234550633e-12
Broadcom,AVGO,294.91,200.74116630105115,-0.3193138031906306,0.5181193033748428,0.4084372510738592,6.380701909394312e-14
Cadence Design Systems,CDNS,346.88,196.3123546569245,-0.434062630716892,0.2912223259520056,0.3563850139280176,1.4216604274516887e-13
CDW Corporation,CDW,167.58,139.00403361189353,-0.170521341377888,0.119596656610089,0.2812302124042031,2.1268253033783855e-13
Charter Communications,CHTR,267.01,441.9743979244552,0.6552728284500777,-0.102452859389581,0.357509891429531,1.1046268876704577e-12
Cintas,CTAS,216.43,118.67502017012286,-0.4516701928100408,0.2252456234348193,0.2369487472361616,3.2695564730448356e-13
Cisco,CSCO,66.76,64.25900505508812,-0.0374624767062894,0.1194678447363943,0.2274903345551362,9.328356344289528e-13
Cognizant,CTSH,70.865,110.90126492320076,0.5649652850236475,0.0417943599464014,0.2574410319775359,1.076880404379755e-12
Copart,CPRT,47.81,36.64627137367082,-0.2335019583001293,0.1618499205657105,0.260572160665292,2.9862111770559177e-13
CoStar Group,CSGP,88.95,52.00757242667869,-0.4153167799136741,0.0603379763678073,0.3273410385420033,1.1032071322730245e-13
Costco,COST,980.85,432.2170274030824,-0.559344418205554,0.2392440019536209,0.2261149003134879,4.442939155797827e-13
CrowdStrike,CRWD,418.6,385.1648462398832,-0.0798737548019992,0.4034688616081079,0.5227627830472333,8.339242324669168e-14
CSX Corporation,CSX,36.52,33.33300851550504,-0.0872670176477261,0.1006033550115399,0.2352761081704601,8.528194318855511e-13
