Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Thomson Reuters,TRI,174.96,104.4642753766047,-0.4029248092329407,0.1786622155553265,0.2049027690343608,0.1338169934612362
Keurig Dr Pepper,KDP,35.18,74.97849400070989,1.1312818078655456,0.0561659323619721,0.1917111612458703,0.13127421946873521
O'Reilly Automotive,ORLY,103.06,161.52902978571362,0.5673299998613779,0.2690904544334209,0.2232637161737948,0.10581570657657562
Mondelez International,MDLZ,62.66,136.1427601696129,1.1727219944081215,0.0348428189767436,0.1873850719983616,0.10218700303937686
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.0993529699310532,0.2404239459110871,0.08688424333724004
Electronic Arts,EA,170.68,294.2426581781611,0.7239433921851481,0.0689599810583119,0.2499247892289812,0.08589203006946991
PepsiCo,PEP,152.16,248.04432915857024,0.6301546343228854,0.0341711141979923,0.1782986188952049,0.07757161195117912
Gilead Sciences,GILD,117.98,247.99301004220945,1.1019919481455285,0.1451515766608724,0.2344937809795688,0.05833652482365982
Baker Hughes,BKR,42.95,53.80246904372341,0.2526768112624775,0.2669213331500193,0.3682332510229421,0.04185831218730269
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.0738023955966213,0.2350210842799073,0.030012139266463067
Cisco,CSCO,66.76,64.25900505508812,-0.0374624767062894,0.1194678447363943,0.2274903345551362,0.02530399015530463
Take-Two Interactive,TTWO,228.36,17.943451647213568,-0.9214247169065792,0.1095373605198963,0.325103782417777,0.024684621198729623
Paccar,PCAR,99.46,139.96476180536155,0.4072467505063499,0.1394628204450769,0.2585289434199078,0.019619845941516632
Vertex Pharmaceuticals,VRTX,390.76,613.1933649523746,0.5692326874612925,0.1250141282223777,0.3013193432072651,0.018347436756681743
T-Mobile US,TMUS,258.22,-38.43371677191287,-1.148840975803241,0.1918030254413102,0.2403016836409642,0.017133860926411892
CSX Corporation,CSX,36.52,33.33300851550504,-0.0872670176477261,0.1006033550115399,0.2352761081704601,0.013144265429599001
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255,0.5520401614634903,0.4663838446014542,0.011807333197536853
