Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,RP_Weight
Adobe Inc.,ADBE,381.06,489.29,0.2840235133574766,0.0750054384258262,0.3616676867817474,0.009162160674059124
Advanced Micro Devices,AMD,100.59,133.98,0.3319415448851772,0.2609525592612363,0.5165407372119373,0.00641509414106493
Airbnb,ABNB,124.89,139.2,0.1145808311313956,0.0811988524603542,0.4925192317001072,0.006727975769537726
Alphabet Inc.,GOOGL,164.21,201.75,0.2286097070823944,0.2230548638940211,0.3085770234255294,0.010738510016476849
Alphabet Inc.,GOOG,166.05,200.79,0.2092140921409213,0.2247274368804348,0.307743483070084,0.010767595868650847
Amazon,AMZN,186.35,239.33,0.2843037295411861,0.1528144211058007,0.3556553168454711,0.009317047433173653
American Electric Power,AEP,107.44,106.91,-0.0049329858525688,0.1190300084418037,0.2058318122194127,0.016098859652352297
Amgen,AMGN,290.92,313.54,0.0777533342499656,0.0879225431971203,0.234629378151423,0.014122943524877434
Analog Devices,ADI,197.72,240.94,0.2185919482095892,0.1943493308476666,0.3292121259442075,0.010065417388274553
Ansys,ANSS,308.6,352.86,0.1434219053791314,0.0947777487336349,0.3237724166691617,0.01023452674257805
Apple Inc.,AAPL,198.89,232.17,0.1673286741414852,0.2435620227266065,0.2992411876558241,0.011073533970600671
Applied Materials,AMAT,154.61,201.77,0.3050255481534183,0.3223405221144979,0.4322186168336354,0.00766662362020633
AppLovin,APP,301.84,432.9,0.4342035515504903,0.6829212711020861,0.793385017060357,0.004176607051627206
Arm Holdings,ARM,121.95,147.07,0.2059860598605984,0.7155098836457938,0.8169801735956645,0.00405598270803281
ASML Holding,ASML,668.08,898.83,0.3453927673332535,0.2599268276129198,0.4153647751512699,0.007977704550663623
AstraZeneca,AZN,72.09,84.16,0.1674296018865306,0.110547017607668,0.2439451876215862,0.013583614783374557
Atlassian,TEAM,228.31,296.29,0.2977530550567211,0.1914321619894577,0.568033679360052,0.005833558074659996
Autodesk,ADSK,280.07,320.15,0.1431070803727638,0.1467011010876507,0.3551763243020358,0.009329612449313435
Automatic Data Processing,ADP,303.96,309.08,0.0168443216212659,0.1915376303037632,0.2275371951773256,0.014563146277369024
Axon Enterprise,AXON,621.4,665.1,0.0703250724171227,0.5458836419292487,0.4836028834886946,0.006852021710468405
Baker Hughes,BKR,36.45,47.31,0.2979423868312756,0.2961392502568214,0.3883752927562178,0.008532101600473418
Biogen,BIIB,121.08,181.71,0.5007433102081269,-0.1079439640804925,0.4451951418501064,0.007443157270627495
Booking Holdings,BKNG,5099.28,5457.3,0.0702099119875747,0.3177716794916381,0.3464973788150847,0.009563297327793232
Broadcom,AVGO,200.72,238.54,0.1884216819449979,0.5114816816453253,0.4068514716841394,0.008144636771726435
Cadence Design Systems,CDNS,308.83,319.32,0.0339669073600363,0.3277728950910908,0.3522262526962669,0.009407752634972115
CDW Corporation,CDW,165.75,204.7,0.2349924585218701,0.1403314500480028,0.2898815434438364,0.011431074284836865
Charter Communications,CHTR,386.33,411.92,0.0662387078404473,0.0099372641346137,0.3435165953778731,0.009646280562557941
Cintas,CTAS,211.68,209.54,-0.0101095993953137,0.3146017985348175,0.2557654849038607,0.012955842959636341
Cisco,CSCO,59.32,67.29,0.1343560350640593,0.1310184489954682,0.2368771485863209,0.013988928339797715
Coca-Cola Europacific Partners,CCEP,,,,0.2398619364308256,0.2691939075554861,0.012309555914547023
Cognizant,CTSH,72.58,85.64,0.1799393772389088,0.1071828697945114,0.2678521679164764,0.012371217611137448
Comcast,CMCSA,34.45,40.5,0.1756168359941943,0.0549605198384397,0.2634817602245387,0.012576420675517598
Constellation Energy,CEG,248.27,280.74,0.1307850324243766,0.7081575925297123,0.5069307894784064,0.006536705849568069
Copart,CPRT,61.03,61.89,0.0140914304440438,0.2533989361416194,0.2608314838961234,0.012704208124772732
CoStar Group,CSGP,77.1,87.7,0.1374837872892349,0.0879227979053139,0.3379824584329364,0.009804229107846334
Costco,COST,1014.89,1052.04,0.036604952260836,0.282768108642816,0.2254031644190397,0.014701024563920253
CrowdStrike,CRWD,443.47,411.06,-0.0730827338940628,0.4969277057799037,0.5318697928341571,0.006230204274719721
