Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Adobe Inc.,ADBE,361.03,446.3958922861056,0.2364509660862133,0.0055762026308994,0.359550377684783,1.2760938245580977e-18
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458,0.2659501650351844,0.5069222124243764,0.0
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213065,0.0849108443118185,0.4832515432320766,0.0
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.3286886400701476,0.2336226716169388,0.3102357079904485,7.346102666421797e-17
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.3226584877705005,0.2337640499279979,0.3090532578657348,7.43517156538208e-18
Amazon,AMZN,228.01,31.12918592617877,-0.8634744707417272,0.1236298343023454,0.3544598588636372,2.432130437628429e-17
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.0738023955966213,0.2350210842799073,0.030012139266463067
Analog Devices,ADI,230.44,243.91365133245253,0.0584692385542984,0.2010107340402685,0.3261890715199783,3.2474548546527395e-17
Apple Inc.,AAPL,230.56,173.77669714118954,-0.2462842767991432,0.1605916096653562,0.29326536628135,3.106777104083305e-17
Applied Materials,AMAT,162.215,144.156286775192,-0.1113257912326727,0.2807000815177258,0.4340400199002813,2.35315476773505e-18
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241,0.7190559066600252,0.7818932262816339,0.0
Arm Holdings,ARM,134.01,10.0709254342952,-0.9248494482927004,0.6863711419201286,0.7762236506352849,0.0
ASML Holding,ASML,743.61,750.7543171041926,0.0096076130016979,0.2235883896043297,0.4142745343670028,1.3496335522408264e-17
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.0993529699310532,0.2404239459110871,0.08688424333724004
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424,0.1597043559607926,0.5683675223962232,0.0
