Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Marvell Technology,MRVL,58.37,103.36,0.7707726571869111,0.3301609104316066,0.5640358261736984,0.006354250070689673,0.0018213505854532653
Atlassian,TEAM,228.31,296.29,0.2977530550567211,0.1914321619894577,0.568033679360052,0.00631272454883596,0.0018223013973529133
Zscaler,ZS,226.17,236.83,0.0471326878012114,0.3891059930963985,0.5712061338080042,0.006280140783078408,0.001823042381300797
Datadog,DDOG,105.7,143.29,0.3556291390728476,0.3181152022375837,0.5791423205933095,0.006200014510165636,0.0018248419598779447
DoorDash,DASH,205.4,218.7,0.0647517039922103,0.1792282499880872,0.5989062870663721,0.006008657997456277,0.0018289969868755145
"Tesla, Inc.",TSLA,280.26,289.44,0.0327552986512524,0.5382348814013832,0.6401998328467607,0.0056443255378264895,0.0018367892512420193
Trade Desk (The),TTD,55.5,85.64,0.5430630630630631,0.3331460793277173,0.6719655424401282,0.005394206760807838,0.0018426713384610144
MongoDB Inc.,MDB,162.66,268.21,0.6488995450633221,0.2224746420325775,0.673492922882777,0.005382759933040439,0.0018429489148449702
Palantir Technologies,PLTR,123.77,93.41,-0.2452936899087016,0.7947962404351211,0.7342545151371039,0.004961292105508891,0.0018521742618635225
PDD Holdings,PDD,110.85,151.15,0.3635543527289131,0.4281586709947921,0.7426988215755392,0.0049074410242047,0.0018531700743513518
AppLovin,APP,301.84,432.9,0.4342035515504903,0.6829212711020861,0.793385017060357,0.004608767372149557,0.0018593443851671668
Arm Holdings,ARM,121.95,147.07,0.2059860598605984,0.7155098836457938,0.8169801735956645,0.004483330910661564,0.0018626298634121742
MicroStrategy,MSTR,386.53,502.79,0.3007787235143457,1.139736853774291,0.9508427941612662,0.0038772509609417984,0.0018751465472945444
