Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Adobe Inc.,ADBE,381.06,489.29,0.2840235133574766,0.0750054384258262,0.3616676867817474,8.536393953102891e-16
Advanced Micro Devices,AMD,100.59,133.98,0.3319415448851772,0.2609525592612363,0.5165407372119373,2.3070571532151923e-16
Airbnb,ABNB,124.89,139.2,0.1145808311313956,0.0811988524603542,0.4925192317001072,1.9066498014490298e-15
Alphabet Inc.,GOOGL,164.21,201.75,0.2286097070823944,0.2230548638940211,0.3085770234255294,2.288118202950111e-15
Alphabet Inc.,GOOG,166.05,200.79,0.2092140921409213,0.2247274368804348,0.307743483070084,2.3155586299840105e-15
Amazon,AMZN,186.35,239.33,0.2843037295411861,0.1528144211058007,0.3556553168454711,4.2732823894220015e-16
American Electric Power,AEP,107.44,106.91,-0.0049329858525688,0.1190300084418037,0.2058318122194127,2.2792152123918397e-15
Amgen,AMGN,290.92,313.54,0.0777533342499656,0.0879225431971203,0.234629378151423,9.621159220339476e-16
Analog Devices,ADI,197.72,240.94,0.2185919482095892,0.1943493308476666,0.3292121259442075,1.2703355548195268e-15
Ansys,ANSS,308.6,352.86,0.1434219053791314,0.0947777487336349,0.3237724166691617,5.408176672350382e-16
Apple Inc.,AAPL,198.89,232.17,0.1673286741414852,0.2435620227266065,0.2992411876558241,3.3287952562803237e-15
Applied Materials,AMAT,154.61,201.77,0.3050255481534183,0.3223405221144979,0.4322186168336354,1.4109663515693074e-15
AppLovin,APP,301.84,432.9,0.4342035515504903,0.6829212711020861,0.793385017060357,8.300080713424089e-16
Arm Holdings,ARM,121.95,147.07,0.2059860598605984,0.7155098836457938,0.8169801735956645,2.0718857071964805e-15
ASML Holding,ASML,668.08,898.83,0.3453927673332535,0.2599268276129198,0.4153647751512699,1.2950722886858784e-15
AstraZeneca,AZN,72.09,84.16,0.1674296018865306,0.110547017607668,0.2439451876215862,1.1549592736754957e-15
Atlassian,TEAM,228.31,296.29,0.2977530550567211,0.1914321619894577,0.568033679360052,1.530036701757148e-15
Autodesk,ADSK,280.07,320.15,0.1431070803727638,0.1467011010876507,0.3551763243020358,2.3901787088500227e-16
Automatic Data Processing,ADP,303.96,309.08,0.0168443216212659,0.1915376303037632,0.2275371951773256,3.288462523857923e-15
Axon Enterprise,AXON,621.4,665.1,0.0703250724171227,0.5458836419292487,0.4836028834886946,0.057789772317002316
Baker Hughes,BKR,36.45,47.31,0.2979423868312756,0.2961392502568214,0.3883752927562178,2.179626103666141e-15
Biogen,BIIB,121.08,181.71,0.5007433102081269,-0.1079439640804925,0.4451951418501064,3.4926401986881668e-15
Booking Holdings,BKNG,5099.28,5457.3,0.0702099119875747,0.3177716794916381,0.3464973788150847,3.4759743042448625e-15
Broadcom,AVGO,200.72,238.54,0.1884216819449979,0.5114816816453253,0.4068514716841394,0.11135774010421708
Cadence Design Systems,CDNS,308.83,319.32,0.0339669073600363,0.3277728950910908,0.3522262526962669,3.936086753740418e-15
CDW Corporation,CDW,165.75,204.7,0.2349924585218701,0.1403314500480028,0.2898815434438364,6.108146395070884e-16
Charter Communications,CHTR,386.33,411.92,0.0662387078404473,0.0099372641346137,0.3435165953778731,1.2921501729621227e-15
Cintas,CTAS,211.68,209.54,-0.0101095993953137,0.3146017985348175,0.2557654849038607,0.14550772292278502
Cisco,CSCO,59.32,67.29,0.1343560350640593,0.1310184489954682,0.2368771485863209,1.5497569237055214e-15
Coca-Cola Europacific Partners,CCEP,,,,0.2398619364308256,0.2691939075554861,2.831752044873279e-15
