Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight,BL_Expected_Return
Roper Technologies,ROP,526.94,645.0,0.2240482787414126,17,0.0656518382790018,0.209797340995526,0.0,0.07415024811875161
Ross Stores,ROST,145.62,146.67,0.0072105480016479,62,0.1506741054760548,0.3155556456628965,0.0,0.10485902115967978
Shopify,SHOP,136.68,130.0,-0.0488732806555458,104,0.2830514012394698,0.6552531195666813,1.7508358794214448e-19,0.23265367189349442
Starbucks,SBUX,88.56,107.5,0.2138663053297198,99,0.0708804920445839,0.3104626200633951,0.0,0.10387211187574098
Synopsys,SNPS,598.17,545.0,-0.0888877743785211,34,0.2721006032838621,0.3541733469301744,0.0,0.15375498712483768
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.2403741023030101,0.01089809518476317,0.06011450349116075
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,1,0.1096824937331541,0.324855915450949,0.01659705909788184,0.08433401233585343
"Tesla, Inc.",TSLA,320.11,363.08,0.1342351066820779,214,0.3848299170934255,0.631008985371396,0.0,0.21724850295478315
Texas Instruments,TXN,200.71,194.0,-0.0334313188181955,78,0.1222295373238405,0.3035760394311952,0.0,0.12151563206947688
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.1815482150904319,0.2048261163716895,0.06141342673006638,0.05966898168796378
Trade Desk (The),TTD,52.3,98.33,0.8801147227533461,59,0.2723814227584838,0.6974145363208422,0.0,0.22559498283723056
Vertex Pharmaceuticals,VRTX,397.46,482.44,0.2138076787601268,58,0.1252111655762944,0.3011106590813174,0.009603861150708881,0.05690537863940708
Warner Bros. Discovery,WBD,11.585,12.5,0.0789814415192058,34,0.022189169458421,0.5445557229565612,0.0,0.1307745634313716
"Workday, Inc.",WDAY,227.58,267.0,0.1732138149222251,97,0.1012486957221323,0.3816503091728371,0.0,0.12586236767079323
Xcel Energy,XEL,73.16,76.33,0.0433296883542919,21,0.032879760122477,0.2103782132696467,0.019242028108870258,0.03125339441598678
