Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Costco,COST,1014.89,1052.04,0.036604952260836,0.282768108642816,0.2254031644190397,0.014021508452280392,0.0016006617056294685
CrowdStrike,CRWD,443.47,411.06,-0.0730827338940628,0.4969277057799037,0.5318697928341571,0.006625475962531712,0.0017902746154945834
CSX Corporation,CSX,28.47,32.81,0.1524411661397964,0.0981756575470762,0.2433797551504182,0.013180441521952805,0.001625308150591852
Datadog,DDOG,105.7,143.29,0.3556291390728476,0.3181152022375837,0.5791423205933095,0.006122641871717347,0.0018017855951116778
DexCom,DXCM,80.27,97.68,0.2168929861716708,0.0757100174026072,0.4753918178238085,0.007347321655596184,0.001774036979687
Diamondback Energy,FANG,135.54,189.38,0.3972259111701344,0.3991688286014521,0.4877453033420245,0.007176384599731426,0.0017779035035241952
DoorDash,DASH,205.4,218.7,0.0647517039922103,0.1792282499880872,0.5989062870663721,0.005933603523453749,0.0018058650492331538
Electronic Arts,EA,154.74,149.98,-0.030761276980742,0.0927459600388313,0.2493903940371371,0.012920150155754142,0.0016327582886535787
Exelon,EXC,46.0,47.53,0.0332608695652174,0.1850421395325632,0.2236324953760575,0.01410994632030276,0.0015980348858881071
Fastenal,FAST,82.42,75.28,-0.0866294588692064,0.2004241392999742,0.2433698810047624,0.0131808771863418,0.001625295594531866
Fortinet,FTNT,108.69,113.01,0.0397460667954734,0.3676618419264902,0.4237998368544752,0.008155499485957767,0.001754920163609337
GE HealthCare,GEHC,70.33,89.25,0.2690174889805203,0.1036007858569584,0.3297672931087503,0.01019215618628209,0.001705160814499805
Gilead Sciences,GILD,102.81,115.02,0.1187627662678727,0.1140138447358708,0.2324730717096051,0.013678810255880183,0.0016107877840909036
GlobalFoundries,GFS,35.88,45.11,0.257246376811594,0.0457636900686284,0.507235827415194,0.006922021348710973,0.0017835798639300525
Honeywell,HON,214.25,233.86,0.0915285880980163,0.1398415688722088,0.2328092266617148,0.013662916426231598,0.001611255061247833
Idexx Laboratories,IDXX,475.07,496.54,0.0451933399288526,0.1515511712487264,0.334925712852101,0.010055255648685972,0.0017086704962335601
Intel,INTC,20.27,21.58,0.0646275283670447,-0.1003752426630389,0.4324915488739663,0.008007306922308876,0.0017584716520060227
Intuit,INTU,632.18,697.18,0.1028188174254167,0.2268645222896137,0.3445410999863637,0.00980942599354141,0.001714928202918041
Intuitive Surgical,ISRG,531.82,576.03,0.08312963032605,0.2745435737401205,0.3349048448715904,0.010055802209598246,0.0017086565134424839
Keurig Dr Pepper,KDP,34.45,38.62,0.1210449927431058,0.0935764841406996,0.1918978559707443,0.01589612788180675,0.0015434616536737253
KLA Corporation,KLAC,693.29,786.44,0.1343593589983991,0.3879058804638029,0.424053599856029,0.008151094642749846,0.0017550255929802306
Kraft Heinz,KHC,29.1,31.72,0.0900343642611682,0.0674982858129185,0.2260816349569067,0.013987905182409159,0.0016016584714266952
Lam Research,LRCX,73.91,89.77,0.2145853064537952,0.3243210840310823,0.4518529949544193,0.0076957206341449445,0.0017659185737355129
